training_seed,scenario_id,condition,task,simulator_seed,initial_state_pair_key,object_point_identity_key,occlusion_start_step,occlusion_duration_steps,control_hz,split
0,pb_bowl_s0_000,E00,bowl_on_plate,4173202280,pb_bowl_s0_000_state,pb_bowl_s0_000_points128,,0,20,test
0,pb_bowl_s0_000,E10,bowl_on_plate,4173202280,pb_bowl_s0_000_state,pb_bowl_s0_000_points128,20,5,20,test
0,pb_bowl_s0_001,E00,bowl_on_plate,3406851539,pb_bowl_s0_001_state,pb_bowl_s0_001_points128,,0,20,test
0,pb_bowl_s0_001,E10,bowl_on_plate,3406851539,pb_bowl_s0_001_state,pb_bowl_s0_001_points128,25,10,20,test
0,pb_bowl_s0_002,E00,bowl_on_plate,203271036,pb_bowl_s0_002_state,pb_bowl_s0_002_points128,,0,20,test
0,pb_bowl_s0_002,E10,bowl_on_plate,203271036,pb_bowl_s0_002_state,pb_bowl_s0_002_points128,30,5,20,test
0,pb_bowl_s0_003,E00,bowl_on_plate,1883691711,pb_bowl_s0_003_state,pb_bowl_s0_003_points128,,0,20,test
0,pb_bowl_s0_003,E10,bowl_on_plate,1883691711,pb_bowl_s0_003_state,pb_bowl_s0_003_points128,35,10,20,test
0,pb_bowl_s0_004,E00,bowl_on_plate,956555592,pb_bowl_s0_004_state,pb_bowl_s0_004_points128,,0,20,test
0,pb_bowl_s0_004,E10,bowl_on_plate,956555592,pb_bowl_s0_004_state,pb_bowl_s0_004_points128,20,5,20,test
0,pb_bowl_s0_005,E00,bowl_on_plate,4145884050,pb_bowl_s0_005_state,pb_bowl_s0_005_points128,,0,20,test
0,pb_bowl_s0_005,E10,bowl_on_plate,4145884050,pb_bowl_s0_005_state,pb_bowl_s0_005_points128,25,10,20,test
0,pb_bowl_s0_006,E00,bowl_on_plate,1752719105,pb_bowl_s0_006_state,pb_bowl_s0_006_points128,,0,20,test
0,pb_bowl_s0_006,E10,bowl_on_plate,1752719105,pb_bowl_s0_006_state,pb_bowl_s0_006_points128,30,5,20,test
0,pb_bowl_s0_007,E00,bowl_on_plate,2292088229,pb_bowl_s0_007_state,pb_bowl_s0_007_points128,,0,20,test
0,pb_bowl_s0_007,E10,bowl_on_plate,2292088229,pb_bowl_s0_007_state,pb_bowl_s0_007_points128,35,10,20,test
0,pb_bowl_s0_008,E00,bowl_on_plate,438220595,pb_bowl_s0_008_state,pb_bowl_s0_008_points128,,0,20,test
0,pb_bowl_s0_008,E10,bowl_on_plate,438220595,pb_bowl_s0_008_state,pb_bowl_s0_008_points128,20,5,20,test
0,pb_bowl_s0_009,E00,bowl_on_plate,3345367047,pb_bowl_s0_009_state,pb_bowl_s0_009_points128,,0,20,test
0,pb_bowl_s0_009,E10,bowl_on_plate,3345367047,pb_bowl_s0_009_state,pb_bowl_s0_009_points128,25,10,20,test
0,pb_bowl_s0_010,E00,bowl_on_plate,3496342489,pb_bowl_s0_010_state,pb_bowl_s0_010_points128,,0,20,test
0,pb_bowl_s0_010,E10,bowl_on_plate,3496342489,pb_bowl_s0_010_state,pb_bowl_s0_010_points128,30,5,20,test
0,pb_bowl_s0_011,E00,bowl_on_plate,2711783408,pb_bowl_s0_011_state,pb_bowl_s0_011_points128,,0,20,test
0,pb_bowl_s0_011,E10,bowl_on_plate,2711783408,pb_bowl_s0_011_state,pb_bowl_s0_011_points128,35,10,20,test
0,pb_bowl_s0_012,E00,bowl_on_plate,3472464367,pb_bowl_s0_012_state,pb_bowl_s0_012_points128,,0,20,test
0,pb_bowl_s0_012,E10,bowl_on_plate,3472464367,pb_bowl_s0_012_state,pb_bowl_s0_012_points128,20,5,20,test
0,pb_bowl_s0_013,E00,bowl_on_plate,3494159725,pb_bowl_s0_013_state,pb_bowl_s0_013_points128,,0,20,test
0,pb_bowl_s0_013,E10,bowl_on_plate,3494159725,pb_bowl_s0_013_state,pb_bowl_s0_013_points128,25,10,20,test
0,pb_bowl_s0_014,E00,bowl_on_plate,2628039180,pb_bowl_s0_014_state,pb_bowl_s0_014_points128,,0,20,test
0,pb_bowl_s0_014,E10,bowl_on_plate,2628039180,pb_bowl_s0_014_state,pb_bowl_s0_014_points128,30,5,20,test
0,pb_bowl_s0_015,E00,bowl_on_plate,1519469606,pb_bowl_s0_015_state,pb_bowl_s0_015_points128,,0,20,test
0,pb_bowl_s0_015,E10,bowl_on_plate,1519469606,pb_bowl_s0_015_state,pb_bowl_s0_015_points128,35,10,20,test
0,pb_bowl_s0_016,E00,bowl_on_plate,2881352248,pb_bowl_s0_016_state,pb_bowl_s0_016_points128,,0,20,test
0,pb_bowl_s0_016,E10,bowl_on_plate,2881352248,pb_bowl_s0_016_state,pb_bowl_s0_016_points128,20,5,20,test
0,pb_bowl_s0_017,E00,bowl_on_plate,630365780,pb_bowl_s0_017_state,pb_bowl_s0_017_points128,,0,20,test
0,pb_bowl_s0_017,E10,bowl_on_plate,630365780,pb_bowl_s0_017_state,pb_bowl_s0_017_points128,25,10,20,test
0,pb_bowl_s0_018,E00,bowl_on_plate,3115803277,pb_bowl_s0_018_state,pb_bowl_s0_018_points128,,0,20,test
0,pb_bowl_s0_018,E10,bowl_on_plate,3115803277,pb_bowl_s0_018_state,pb_bowl_s0_018_points128,30,5,20,test
0,pb_bowl_s0_019,E00,bowl_on_plate,4018341492,pb_bowl_s0_019_state,pb_bowl_s0_019_points128,,0,20,test
0,pb_bowl_s0_019,E10,bowl_on_plate,4018341492,pb_bowl_s0_019_state,pb_bowl_s0_019_points128,35,10,20,test
0,pb_bowl_s0_020,E00,bowl_on_plate,1570469215,pb_bowl_s0_020_state,pb_bowl_s0_020_points128,,0,20,test
0,pb_bowl_s0_020,E10,bowl_on_plate,1570469215,pb_bowl_s0_020_state,pb_bowl_s0_020_points128,20,5,20,test
0,pb_bowl_s0_021,E00,bowl_on_plate,1843684524,pb_bowl_s0_021_state,pb_bowl_s0_021_points128,,0,20,test
0,pb_bowl_s0_021,E10,bowl_on_plate,1843684524,pb_bowl_s0_021_state,pb_bowl_s0_021_points128,25,10,20,test
0,pb_bowl_s0_022,E00,bowl_on_plate,2730452207,pb_bowl_s0_022_state,pb_bowl_s0_022_points128,,0,20,test
0,pb_bowl_s0_022,E10,bowl_on_plate,2730452207,pb_bowl_s0_022_state,pb_bowl_s0_022_points128,30,5,20,test
0,pb_bowl_s0_023,E00,bowl_on_plate,3144253711,pb_bowl_s0_023_state,pb_bowl_s0_023_points128,,0,20,test
0,pb_bowl_s0_023,E10,bowl_on_plate,3144253711,pb_bowl_s0_023_state,pb_bowl_s0_023_points128,35,10,20,test
0,pb_bowl_s0_024,E00,bowl_on_plate,3438864755,pb_bowl_s0_024_state,pb_bowl_s0_024_points128,,0,20,test
0,pb_bowl_s0_024,E10,bowl_on_plate,3438864755,pb_bowl_s0_024_state,pb_bowl_s0_024_points128,20,5,20,test
0,pb_bowl_s0_025,E00,bowl_on_plate,3936532480,pb_bowl_s0_025_state,pb_bowl_s0_025_points128,,0,20,test
0,pb_bowl_s0_025,E10,bowl_on_plate,3936532480,pb_bowl_s0_025_state,pb_bowl_s0_025_points128,25,10,20,test
0,pb_bowl_s0_026,E00,bowl_on_plate,3863650365,pb_bowl_s0_026_state,pb_bowl_s0_026_points128,,0,20,test
0,pb_bowl_s0_026,E10,bowl_on_plate,3863650365,pb_bowl_s0_026_state,pb_bowl_s0_026_points128,30,5,20,test
0,pb_bowl_s0_027,E00,bowl_on_plate,40852712,pb_bowl_s0_027_state,pb_bowl_s0_027_points128,,0,20,test
0,pb_bowl_s0_027,E10,bowl_on_plate,40852712,pb_bowl_s0_027_state,pb_bowl_s0_027_points128,35,10,20,test
0,pb_bowl_s0_028,E00,bowl_on_plate,3399767841,pb_bowl_s0_028_state,pb_bowl_s0_028_points128,,0,20,test
0,pb_bowl_s0_028,E10,bowl_on_plate,3399767841,pb_bowl_s0_028_state,pb_bowl_s0_028_points128,20,5,20,test
0,pb_bowl_s0_029,E00,bowl_on_plate,1399585338,pb_bowl_s0_029_state,pb_bowl_s0_029_points128,,0,20,test
0,pb_bowl_s0_029,E10,bowl_on_plate,1399585338,pb_bowl_s0_029_state,pb_bowl_s0_029_points128,25,10,20,test
0,pb_bowl_s0_030,E00,bowl_on_plate,2334784417,pb_bowl_s0_030_state,pb_bowl_s0_030_points128,,0,20,test
0,pb_bowl_s0_030,E10,bowl_on_plate,2334784417,pb_bowl_s0_030_state,pb_bowl_s0_030_points128,30,5,20,test
0,pb_bowl_s0_031,E00,bowl_on_plate,2161048191,pb_bowl_s0_031_state,pb_bowl_s0_031_points128,,0,20,test
0,pb_bowl_s0_031,E10,bowl_on_plate,2161048191,pb_bowl_s0_031_state,pb_bowl_s0_031_points128,35,10,20,test
0,pb_bowl_s0_032,E00,bowl_on_plate,4078806056,pb_bowl_s0_032_state,pb_bowl_s0_032_points128,,0,20,test
0,pb_bowl_s0_032,E10,bowl_on_plate,4078806056,pb_bowl_s0_032_state,pb_bowl_s0_032_points128,20,5,20,test
0,pb_bowl_s0_033,E00,bowl_on_plate,3879814463,pb_bowl_s0_033_state,pb_bowl_s0_033_points128,,0,20,test
0,pb_bowl_s0_033,E10,bowl_on_plate,3879814463,pb_bowl_s0_033_state,pb_bowl_s0_033_points128,25,10,20,test
0,pb_bowl_s0_034,E00,bowl_on_plate,303002785,pb_bowl_s0_034_state,pb_bowl_s0_034_points128,,0,20,test
0,pb_bowl_s0_034,E10,bowl_on_plate,303002785,pb_bowl_s0_034_state,pb_bowl_s0_034_points128,30,5,20,test
0,pb_bowl_s0_035,E00,bowl_on_plate,1075242427,pb_bowl_s0_035_state,pb_bowl_s0_035_points128,,0,20,test
0,pb_bowl_s0_035,E10,bowl_on_plate,1075242427,pb_bowl_s0_035_state,pb_bowl_s0_035_points128,35,10,20,test
0,pb_bowl_s0_036,E00,bowl_on_plate,2168154445,pb_bowl_s0_036_state,pb_bowl_s0_036_points128,,0,20,test
0,pb_bowl_s0_036,E10,bowl_on_plate,2168154445,pb_bowl_s0_036_state,pb_bowl_s0_036_points128,20,5,20,test
0,pb_bowl_s0_037,E00,bowl_on_plate,1647785074,pb_bowl_s0_037_state,pb_bowl_s0_037_points128,,0,20,test
0,pb_bowl_s0_037,E10,bowl_on_plate,1647785074,pb_bowl_s0_037_state,pb_bowl_s0_037_points128,25,10,20,test
0,pb_bowl_s0_038,E00,bowl_on_plate,610381209,pb_bowl_s0_038_state,pb_bowl_s0_038_points128,,0,20,test
0,pb_bowl_s0_038,E10,bowl_on_plate,610381209,pb_bowl_s0_038_state,pb_bowl_s0_038_points128,30,5,20,test
0,pb_bowl_s0_039,E00,bowl_on_plate,3856782694,pb_bowl_s0_039_state,pb_bowl_s0_039_points128,,0,20,test
0,pb_bowl_s0_039,E10,bowl_on_plate,3856782694,pb_bowl_s0_039_state,pb_bowl_s0_039_points128,35,10,20,test
0,pb_bowl_s0_040,E00,bowl_on_plate,932696293,pb_bowl_s0_040_state,pb_bowl_s0_040_points128,,0,20,test
0,pb_bowl_s0_040,E10,bowl_on_plate,932696293,pb_bowl_s0_040_state,pb_bowl_s0_040_points128,20,5,20,test
0,pb_bowl_s0_041,E00,bowl_on_plate,1476694404,pb_bowl_s0_041_state,pb_bowl_s0_041_points128,,0,20,test
0,pb_bowl_s0_041,E10,bowl_on_plate,1476694404,pb_bowl_s0_041_state,pb_bowl_s0_041_points128,25,10,20,test
0,pb_bowl_s0_042,E00,bowl_on_plate,3991399547,pb_bowl_s0_042_state,pb_bowl_s0_042_points128,,0,20,test
0,pb_bowl_s0_042,E10,bowl_on_plate,3991399547,pb_bowl_s0_042_state,pb_bowl_s0_042_points128,30,5,20,test
0,pb_bowl_s0_043,E00,bowl_on_plate,3834857733,pb_bowl_s0_043_state,pb_bowl_s0_043_points128,,0,20,test
0,pb_bowl_s0_043,E10,bowl_on_plate,3834857733,pb_bowl_s0_043_state,pb_bowl_s0_043_points128,35,10,20,test
0,pb_bowl_s0_044,E00,bowl_on_plate,2766654250,pb_bowl_s0_044_state,pb_bowl_s0_044_points128,,0,20,test
0,pb_bowl_s0_044,E10,bowl_on_plate,2766654250,pb_bowl_s0_044_state,pb_bowl_s0_044_points128,20,5,20,test
0,pb_bowl_s0_045,E00,bowl_on_plate,261872410,pb_bowl_s0_045_state,pb_bowl_s0_045_points128,,0,20,test
0,pb_bowl_s0_045,E10,bowl_on_plate,261872410,pb_bowl_s0_045_state,pb_bowl_s0_045_points128,25,10,20,test
0,pb_bowl_s0_046,E00,bowl_on_plate,3268277511,pb_bowl_s0_046_state,pb_bowl_s0_046_points128,,0,20,test
0,pb_bowl_s0_046,E10,bowl_on_plate,3268277511,pb_bowl_s0_046_state,pb_bowl_s0_046_points128,30,5,20,test
0,pb_bowl_s0_047,E00,bowl_on_plate,221413056,pb_bowl_s0_047_state,pb_bowl_s0_047_points128,,0,20,test
0,pb_bowl_s0_047,E10,bowl_on_plate,221413056,pb_bowl_s0_047_state,pb_bowl_s0_047_points128,35,10,20,test
0,pb_bowl_s0_048,E00,bowl_on_plate,1229597970,pb_bowl_s0_048_state,pb_bowl_s0_048_points128,,0,20,test
0,pb_bowl_s0_048,E10,bowl_on_plate,1229597970,pb_bowl_s0_048_state,pb_bowl_s0_048_points128,20,5,20,test
0,pb_bowl_s0_049,E00,bowl_on_plate,1510498778,pb_bowl_s0_049_state,pb_bowl_s0_049_points128,,0,20,test
0,pb_bowl_s0_049,E10,bowl_on_plate,1510498778,pb_bowl_s0_049_state,pb_bowl_s0_049_points128,25,10,20,test
1,pb_bowl_s1_000,E00,bowl_on_plate,3973721726,pb_bowl_s1_000_state,pb_bowl_s1_000_points128,,0,20,test
1,pb_bowl_s1_000,E10,bowl_on_plate,3973721726,pb_bowl_s1_000_state,pb_bowl_s1_000_points128,20,5,20,test
1,pb_bowl_s1_001,E00,bowl_on_plate,3570219635,pb_bowl_s1_001_state,pb_bowl_s1_001_points128,,0,20,test
1,pb_bowl_s1_001,E10,bowl_on_plate,3570219635,pb_bowl_s1_001_state,pb_bowl_s1_001_points128,25,10,20,test
1,pb_bowl_s1_002,E00,bowl_on_plate,1605712262,pb_bowl_s1_002_state,pb_bowl_s1_002_points128,,0,20,test
1,pb_bowl_s1_002,E10,bowl_on_plate,1605712262,pb_bowl_s1_002_state,pb_bowl_s1_002_points128,30,5,20,test
1,pb_bowl_s1_003,E00,bowl_on_plate,1284261184,pb_bowl_s1_003_state,pb_bowl_s1_003_points128,,0,20,test
1,pb_bowl_s1_003,E10,bowl_on_plate,1284261184,pb_bowl_s1_003_state,pb_bowl_s1_003_points128,35,10,20,test
1,pb_bowl_s1_004,E00,bowl_on_plate,1303877660,pb_bowl_s1_004_state,pb_bowl_s1_004_points128,,0,20,test
1,pb_bowl_s1_004,E10,bowl_on_plate,1303877660,pb_bowl_s1_004_state,pb_bowl_s1_004_points128,20,5,20,test
1,pb_bowl_s1_005,E00,bowl_on_plate,2186146589,pb_bowl_s1_005_state,pb_bowl_s1_005_points128,,0,20,test
