scenario_id,source_episode_group_id,task,layout_family,condition,occlusion,constraint_context,occlusion_duration_s,seed,split
00_E00_000,bowl_on_plate_episode_000,bowl_on_plate,bowl_on_plate_layout_00,E00,False,False,0.0,1654615998,train
00_E00_001,bowl_on_plate_episode_001,bowl_on_plate,bowl_on_plate_layout_01,E00,False,False,0.0,1806341205,train
00_E00_002,bowl_on_plate_episode_002,bowl_on_plate,bowl_on_plate_layout_02,E00,False,False,0.0,173879092,train
00_E00_003,bowl_on_plate_episode_003,bowl_on_plate,bowl_on_plate_layout_03,E00,False,False,0.0,1112038970,train
00_E00_004,bowl_on_plate_episode_004,bowl_on_plate,bowl_on_plate_layout_04,E00,False,False,0.0,2087043557,train
00_E00_005,bowl_on_plate_episode_005,bowl_on_plate,bowl_on_plate_layout_00,E00,False,False,0.0,1739178872,train
00_E00_006,bowl_on_plate_episode_006,bowl_on_plate,bowl_on_plate_layout_01,E00,False,False,0.0,1302718217,train
00_E00_007,bowl_on_plate_episode_007,bowl_on_plate,bowl_on_plate_layout_02,E00,False,False,0.0,2046968324,train
00_E00_008,bowl_on_plate_episode_008,bowl_on_plate,bowl_on_plate_layout_03,E00,False,False,0.0,1537810351,train
00_E00_009,bowl_on_plate_episode_009,bowl_on_plate,bowl_on_plate_layout_04,E00,False,False,0.0,938204377,train
00_E00_010,bowl_on_plate_episode_010,bowl_on_plate,bowl_on_plate_layout_00,E00,False,False,0.0,598176026,train
00_E00_011,bowl_on_plate_episode_011,bowl_on_plate,bowl_on_plate_layout_01,E00,False,False,0.0,1210484339,train
00_E00_012,bowl_on_plate_episode_012,bowl_on_plate,bowl_on_plate_layout_02,E00,False,False,0.0,600203567,train
00_E00_013,bowl_on_plate_episode_013,bowl_on_plate,bowl_on_plate_layout_03,E00,False,False,0.0,407295012,train
00_E00_014,bowl_on_plate_episode_014,bowl_on_plate,bowl_on_plate_layout_04,E00,False,False,0.0,1075916535,train
00_E00_015,bowl_on_plate_episode_015,bowl_on_plate,bowl_on_plate_layout_00,E00,False,False,0.0,631194409,train
00_E00_016,bowl_on_plate_episode_016,bowl_on_plate,bowl_on_plate_layout_01,E00,False,False,0.0,1332073689,train
00_E00_017,bowl_on_plate_episode_017,bowl_on_plate,bowl_on_plate_layout_02,E00,False,False,0.0,424185324,train
00_E00_018,bowl_on_plate_episode_018,bowl_on_plate,bowl_on_plate_layout_03,E00,False,False,0.0,316721330,train
00_E00_019,bowl_on_plate_episode_019,bowl_on_plate,bowl_on_plate_layout_04,E00,False,False,0.0,1418186270,train
00_E00_020,bowl_on_plate_episode_020,bowl_on_plate,bowl_on_plate_layout_00,E00,False,False,0.0,2027837527,train
00_E00_021,bowl_on_plate_episode_021,bowl_on_plate,bowl_on_plate_layout_01,E00,False,False,0.0,432508404,train
00_E00_022,bowl_on_plate_episode_022,bowl_on_plate,bowl_on_plate_layout_02,E00,False,False,0.0,1519522183,train
