layout,pkl_episode_index,hdf5_demo_key,group,pose_factor,gripper_factor,planned_action_count,steps_executed,original_raw_close_action_index,pointbridge_applied_close_action_index,close_index_offset_steps,close_command_eef_bowl_distance_m,actual_gripper_joint_positions_at_close_m,actual_gripper_aperture_at_close_m,contact_at_close,grasped_at_close,first_contact_action_index,first_stable_grasp_action_index,longest_grasp_run_steps,closed_without_bowl_observed,success,failure_stage,exception,position_error_close_minus_5_m,position_error_close_minus_4_m,position_error_close_minus_3_m,position_error_close_minus_2_m,position_error_close_minus_1_m,position_error_at_close_m,position_error_close_plus_1_m,position_error_close_plus_2_m,position_error_close_plus_3_m,position_error_close_plus_4_m,position_error_close_plus_5_m
1,0,demo_0,A,P0_next_measured_eef_pose,G0_next_raw_gripper_state,211,211,85,84,-1,0.05275708562777658,"[0.03954001414927456,-0.039351885657322234]",0.0788918998065968,False,False,88,,0,True,False,no_grasp,,0.008919152674572323,0.008901552214178522,0.008655431982940403,0.008137071494881309,0.00782926362930545,0.007852952253987498,0.007477324965861384,0.007084077381038463,0.007117505381030278,0.005647877376119467,0.005821201959549084
1,0,demo_0,B,P0_next_measured_eef_pose,G1_current_transition_gripper_command,211,211,85,85,0,0.05174715542187812,"[0.03953945687698195,-0.039354560729348696]",0.07889401760633065,False,False,89,,0,True,False,no_grasp,,0.008901552214178522,0.008655431982940403,0.008137071494881309,0.00782926362930545,0.007852943283255207,0.007477311488968275,0.007083999627290424,0.007117278293637981,0.005647609205609899,0.004587860598476306,0.0047444692268972695
1,0,demo_0,C,P1_saved_controller_absolute_target,G0_next_raw_gripper_state,211,211,85,84,-1,0.049792909206412425,"[0.03953694071972235,-0.039359569833614376]",0.07889651055333673,False,False,87,,0,True,False,no_grasp,,0.007900481213534918,0.006156587337740046,0.006159037727194957,0.005951389929536916,0.008790683848801465,0.004711009037510327,0.00660766419029705,0.006131885826002375,0.007067149879485121,0.008820521178625374,0.014358512720878912
1,0,demo_0,D,P1_saved_controller_absolute_target,G1_current_transition_gripper_command,211,211,85,85,0,0.049032241960062214,"[0.039537226408342035,-0.03936139148956922]",0.07889861789791125,False,False,88,,0,True,False,no_grasp,,0.006156587337740046,0.006159037727194957,0.005951389929536916,0.008790683848801465,0.004710996249929171,0.006607661437936725,0.0061318251800953245,0.00637971502524806,0.007443856897351335,0.013074879034043675,0.010400426063349056
1,1,demo_2,A,P0_next_measured_eef_pose,G0_next_raw_gripper_state,230,230,89,88,-1,0.05189579583077348,"[0.03954076278962224,-0.0402430988668484]",0.07978386165647064,False,False,113,,0,True,False,no_grasp,,0.00629177758255258,0.004451127323169151,0.004028312407458213,0.0038386121814647655,0.00422849202810736,0.004379454176640747,0.004434798130494078,0.004330733599450796,0.0044363050373303,0.00473190050022175,0.004859170909617995
1,1,demo_2,B,P0_next_measured_eef_pose,G1_current_transition_gripper_command,230,230,89,89,0,0.051910384644680625,"[0.03954057025609117,-0.04027260051629674]",0.07981317077238792,False,False,114,,0,True,False,no_grasp,,0.004451127323169151,0.004028312407458213,0.0038386121814647655,0.00422849202810736,0.004371974941408249,0.004400775511196125,0.00426400808900692,0.004217951448229082,0.004268388721393747,0.004376382471105254,0.004417617918355805
1,1,demo_2,C,P1_saved_controller_absolute_target,G0_next_raw_gripper_state,230,230,89,88,-1,0.05276789233490285,"[0.03954031650354098,-0.04047339437134186]",0.08001371087488285,False,False,111,,0,True,False,no_grasp,,0.012244516826513344,0.013056884138193333,0.01233549029118869,0.012102902237137876,0.018457406319879823,0.018319074623636463,0.016812043662557064,0.017703818073618687,0.013545168865322732,0.013676546781263206,0.013231660796320474
1,1,demo_2,D,P1_saved_controller_absolute_target,G1_current_transition_gripper_command,230,230,89,89,0,0.0527767222507793,"[0.039539481255162184,-0.04053272382405109]",0.08007220507921328,False,False,111,,0,True,False,no_grasp,,0.013056884138193333,0.01233549029118869,0.012102902237137876,0.018457406319879823,0.01832034282873535,0.016806242094128992,0.017691400051300293,0.013498993589774865,0.01363711189396591,0.013207468381306178,0.011134220449460141
1,2,demo_3,A,P0_next_measured_eef_pose,G0_next_raw_gripper_state,220,220,84,83,-1,0.052642554047400564,"[0.03954303259674042,-0.03935200974618529]",0.07889504234292571,False,False,105,,0,True,False,no_grasp,,0.00570020605711926,0.0058673612872976,0.006023501796009598,0.005754584158070303,0.005858701765275883,0.006381387486668819,0.006338192142843449,0.005483214557055859,0.004436194772799537,0.00471101979137857,0.00465667269676833
1,2,demo_3,B,P0_next_measured_eef_pose,G1_current_transition_gripper_command,220,220,84,84,0,0.05298606427093202,"[0.03954376858057638,-0.03935281101301971]",0.07889657959359608,False,False,105,,0,True,False,no_grasp,,0.0058673612872976,0.006023501796009598,0.005754584158070303,0.005858701765275883,0.006381358271957633,0.006338125058909267,0.005483225438733157,0.0043091630302547375,0.0036726990003416718,0.0037030975376199783,0.003925920169349817
1,2,demo_3,C,P1_saved_controller_absolute_target,G0_next_raw_gripper_state,220,220,84,83,-1,0.05371854790641044,"[0.039546215945744895,-0.039346259176206065]",0.07889247512195097,False,False,103,,0,True,False,no_grasp,,0.005064777775692595,0.005918436842431149,0.006845712117440353,0.007804502974893071,0.008758220394465617,0.008875158892756536,0.00750901922858396,0.012319894513283587,0.009420868768377997,0.009977564870338948,0.00931261475092438
1,2,demo_3,D,P1_saved_controller_absolute_target,G1_current_transition_gripper_command,220,220,84,84,0,0.05409147462460521,"[0.03954116892215132,-0.039859087887376556]",0.07940025680952788,False,False,103,,0,True,False,no_grasp,,0.005918436842431149,0.006845712117440353,0.007804502974893071,0.008758220394465617,0.00887521159504482,0.007392855485988241,0.012147003550386956,0.00928432709082189,0.009805816326973837,0.00913535107707719,0.01504575564930522
