training_seed,scenario_id,task,layout,simulator_seed,initial_state_key,condition,occlusion_duration_steps,control_hz,split,state_path,saved_state_sha256,restored_state_sha256,state_file_sha256
0,v1r_clean_confirm_l1_00,bowl_on_plate,1,1049368402,v1r_clean_confirm_l1_00_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_00.npz,07237dffc67f50b7d850593b8f14f8273f4324adabcb2978d5dbccd969b296ff,99e80b103c54d5f9c593343590ee00505acadd69b98181e3027f3f95668e5bdc,8ca79dd4303dc110793ffba5da89c9994157af3fc556bcc8a4521d061becdd69
1,v1r_clean_confirm_l1_00,bowl_on_plate,1,1049368402,v1r_clean_confirm_l1_00_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_00.npz,07237dffc67f50b7d850593b8f14f8273f4324adabcb2978d5dbccd969b296ff,99e80b103c54d5f9c593343590ee00505acadd69b98181e3027f3f95668e5bdc,8ca79dd4303dc110793ffba5da89c9994157af3fc556bcc8a4521d061becdd69
2,v1r_clean_confirm_l1_00,bowl_on_plate,1,1049368402,v1r_clean_confirm_l1_00_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_00.npz,07237dffc67f50b7d850593b8f14f8273f4324adabcb2978d5dbccd969b296ff,99e80b103c54d5f9c593343590ee00505acadd69b98181e3027f3f95668e5bdc,8ca79dd4303dc110793ffba5da89c9994157af3fc556bcc8a4521d061becdd69
0,v1r_clean_confirm_l1_01,bowl_on_plate,1,1929436162,v1r_clean_confirm_l1_01_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_01.npz,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,4f7f5d609eee76160ccf7248217acfa9e7120113f6299496ec222fe2828ec412
1,v1r_clean_confirm_l1_01,bowl_on_plate,1,1929436162,v1r_clean_confirm_l1_01_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_01.npz,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,4f7f5d609eee76160ccf7248217acfa9e7120113f6299496ec222fe2828ec412
2,v1r_clean_confirm_l1_01,bowl_on_plate,1,1929436162,v1r_clean_confirm_l1_01_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_01.npz,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,5c09803484dccadea019d9feda1268f332b0d1a51f7de884e56354aa54b36e08,4f7f5d609eee76160ccf7248217acfa9e7120113f6299496ec222fe2828ec412
0,v1r_clean_confirm_l1_02,bowl_on_plate,1,2570253832,v1r_clean_confirm_l1_02_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_02.npz,b4370dbe3a8a2f2286824f11a0569a047932e78b6ce4e917a26eb2f979f5ed20,52f813400bfc3508cb89397ea181530ad7711e43e26560739bb812b9aad3e8a4,614ade1d500701a5f0b2007bdcae7c4835dad2172dd49f6e387eae796127efee
1,v1r_clean_confirm_l1_02,bowl_on_plate,1,2570253832,v1r_clean_confirm_l1_02_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_02.npz,b4370dbe3a8a2f2286824f11a0569a047932e78b6ce4e917a26eb2f979f5ed20,52f813400bfc3508cb89397ea181530ad7711e43e26560739bb812b9aad3e8a4,614ade1d500701a5f0b2007bdcae7c4835dad2172dd49f6e387eae796127efee
2,v1r_clean_confirm_l1_02,bowl_on_plate,1,2570253832,v1r_clean_confirm_l1_02_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_02.npz,b4370dbe3a8a2f2286824f11a0569a047932e78b6ce4e917a26eb2f979f5ed20,52f813400bfc3508cb89397ea181530ad7711e43e26560739bb812b9aad3e8a4,614ade1d500701a5f0b2007bdcae7c4835dad2172dd49f6e387eae796127efee
0,v1r_clean_confirm_l1_03,bowl_on_plate,1,1232851360,v1r_clean_confirm_l1_03_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_03.npz,2a2f24db38cf70b93a9618d00f360a7457ed0f6931331c5fa7b0cc92a04263ee,9e291bb1fd2612fa5bdbbdccf6ec414b4e25a1470cfe06929cdd6fe28b5ba143,55f39a91fdc08f8f391b1dea5de9000752a5bf475f1782dad139262a2a1ff1f2
1,v1r_clean_confirm_l1_03,bowl_on_plate,1,1232851360,v1r_clean_confirm_l1_03_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_03.npz,2a2f24db38cf70b93a9618d00f360a7457ed0f6931331c5fa7b0cc92a04263ee,9e291bb1fd2612fa5bdbbdccf6ec414b4e25a1470cfe06929cdd6fe28b5ba143,55f39a91fdc08f8f391b1dea5de9000752a5bf475f1782dad139262a2a1ff1f2
2,v1r_clean_confirm_l1_03,bowl_on_plate,1,1232851360,v1r_clean_confirm_l1_03_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_03.npz,2a2f24db38cf70b93a9618d00f360a7457ed0f6931331c5fa7b0cc92a04263ee,9e291bb1fd2612fa5bdbbdccf6ec414b4e25a1470cfe06929cdd6fe28b5ba143,55f39a91fdc08f8f391b1dea5de9000752a5bf475f1782dad139262a2a1ff1f2
0,v1r_clean_confirm_l1_04,bowl_on_plate,1,1448316188,v1r_clean_confirm_l1_04_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_04.npz,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,7e76ae3df59fb226bd610ca123bebf3243f6e7f10fbee7d1a384510b190518dd
1,v1r_clean_confirm_l1_04,bowl_on_plate,1,1448316188,v1r_clean_confirm_l1_04_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_04.npz,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,7e76ae3df59fb226bd610ca123bebf3243f6e7f10fbee7d1a384510b190518dd
2,v1r_clean_confirm_l1_04,bowl_on_plate,1,1448316188,v1r_clean_confirm_l1_04_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_04.npz,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,0be2f895bfb16fde7bfa6bee2f677fe194518a309521eeb96886f035a8c5a9af,7e76ae3df59fb226bd610ca123bebf3243f6e7f10fbee7d1a384510b190518dd
0,v1r_clean_confirm_l1_05,bowl_on_plate,1,3220526293,v1r_clean_confirm_l1_05_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_05.npz,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,17218c6d09398a8fc90e8c708c3d7fbe0beb60066f454be9848ffc1576503976
1,v1r_clean_confirm_l1_05,bowl_on_plate,1,3220526293,v1r_clean_confirm_l1_05_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_05.npz,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,17218c6d09398a8fc90e8c708c3d7fbe0beb60066f454be9848ffc1576503976
2,v1r_clean_confirm_l1_05,bowl_on_plate,1,3220526293,v1r_clean_confirm_l1_05_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_05.npz,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,a18d57697362c7f900dba6f5fa60e8ac20fada0e8f99b4c4991d92dd1cdd6219,17218c6d09398a8fc90e8c708c3d7fbe0beb60066f454be9848ffc1576503976
0,v1r_clean_confirm_l1_06,bowl_on_plate,1,3765129443,v1r_clean_confirm_l1_06_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_06.npz,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,96526030eb872d876fc072f73af593bd3c32aa1d8ed800e63cce5cf8132d040e
1,v1r_clean_confirm_l1_06,bowl_on_plate,1,3765129443,v1r_clean_confirm_l1_06_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_06.npz,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,96526030eb872d876fc072f73af593bd3c32aa1d8ed800e63cce5cf8132d040e
2,v1r_clean_confirm_l1_06,bowl_on_plate,1,3765129443,v1r_clean_confirm_l1_06_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_06.npz,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,3a810b30945e5a40a6b18c9d55480e8a48ffc0842b88546ed2271ed962e2a233,96526030eb872d876fc072f73af593bd3c32aa1d8ed800e63cce5cf8132d040e
0,v1r_clean_confirm_l1_07,bowl_on_plate,1,2645542813,v1r_clean_confirm_l1_07_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_07.npz,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,f611e8d848fbd7b2933cd3034d49ae31c013902034b1d04ca212fd9a41fff155
1,v1r_clean_confirm_l1_07,bowl_on_plate,1,2645542813,v1r_clean_confirm_l1_07_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_07.npz,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,f611e8d848fbd7b2933cd3034d49ae31c013902034b1d04ca212fd9a41fff155
2,v1r_clean_confirm_l1_07,bowl_on_plate,1,2645542813,v1r_clean_confirm_l1_07_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_07.npz,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,72104206dc5d1522bf82ed5a86037896db3419d7e657f36c17db47e234add231,f611e8d848fbd7b2933cd3034d49ae31c013902034b1d04ca212fd9a41fff155
0,v1r_clean_confirm_l1_08,bowl_on_plate,1,1562473581,v1r_clean_confirm_l1_08_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_08.npz,5c744240a2cea877bd4628d2e601ebe0ee5a297e680dae0014a78caa8716ea7b,5c744240a2cea877bd4628d2e601ebe0ee5a297e680dae0014a78caa8716ea7b,73b0b25ce82d2461dc8ed2eebda9e0c791a805b1c49b8c94285054b0d98763e6
1,v1r_clean_confirm_l1_08,bowl_on_plate,1,1562473581,v1r_clean_confirm_l1_08_state,E00_CLEAN,0,20,confirm,outputs/v1r/clean_state_store/v1r_clean_confirm_l1_08.npz,5c744240a2cea877bd4628d2e601ebe0ee5a297e680dae0014a78caa8716ea7b,5c744240a2cea877bd4628d2e601ebe0ee5a297e680dae0014a78caa8716ea7b,73b0b25ce82d2461dc8ed2eebda9e0c791a805b1c49b8c94285054b0d98763e6
