local_path,size_bytes,type,description,reason,sha256
outputs/v1r/executable_absolute_contracts_2j/results.json,52489778,generated_runtime_result,V1-R.2J full per-step telemetry for four base and four tail-assisted absolute contracts,Raw runtime output remains under gitignored outputs; compact reports are tracked,c3127a4edcf16b69dc2c8157c122a91eba775dff12aaadf2cc05e86833247dbc
outputs/v1r/executable_absolute_contracts_2j/references/layout_1_demo_002.npz,189805,sequential_tail_reference_bundle,Layout 1 demo_2: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,b53f539bc7f6a4dfca340b4eba5b4cfad13d779d8a91d89a0e7d89c25933fb4d
outputs/v1r/executable_absolute_contracts_2j/references/layout_1_demo_003.npz,174167,sequential_tail_reference_bundle,Layout 1 demo_3: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,9338ca0bcb4b5f5a50d5d311b3bb45c44d3890b3c1a1e6022da37823763ad8a3
outputs/v1r/executable_absolute_contracts_2j/references/layout_1_demo_018.npz,181904,sequential_tail_reference_bundle,Layout 1 demo_18: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,1bd514fa6dcf3a522d9fc5821ab7678ff8e4eb222ff3f5a2cfaca86d35007d68
outputs/v1r/executable_absolute_contracts_2j/references/layout_1_demo_021.npz,177877,sequential_tail_reference_bundle,Layout 1 demo_21: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,4347324ef9b52df1f1647e4159bd2217ec5a1e8271c474a1e4d3391945e44884
outputs/v1r/executable_absolute_contracts_2j/references/layout_1_demo_025.npz,174959,sequential_tail_reference_bundle,Layout 1 demo_25: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,d5e0ce137c45bb921ca42efa55b577f18aa30aa00eb03f5c5ed198480cbcee26
outputs/v1r/executable_absolute_contracts_2j/references/layout_2_demo_027.npz,160143,sequential_tail_reference_bundle,Layout 2 demo_27: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,9ca8e30eabbd6778bf8d2866958e94bfa0588d33715e42dc4e47732b583b7d42
outputs/v1r/executable_absolute_contracts_2j/references/layout_2_demo_032.npz,165259,sequential_tail_reference_bundle,Layout 2 demo_32: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,a105a9195033f32e2e6ff116d7613d8d2f1d48ff903f80e639e4927671d4929f
outputs/v1r/executable_absolute_contracts_2j/references/layout_2_demo_033.npz,170308,sequential_tail_reference_bundle,Layout 2 demo_33: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,0faee8d47e4a0fb6e5d66381ab694d608f4db92125a3e065e8f5289618467ec1
outputs/v1r/executable_absolute_contracts_2j/references/layout_2_demo_059.npz,166221,sequential_tail_reference_bundle,Layout 2 demo_59: regenerated continuous delta states and selected real tail targets,Generated NPZ remains local and is indexed by filename and hash,001c65aa42ce615ab4a787bdf9022116f8c5434411631b7d706504c2293c7dab
